"type";"globalUniqueIdentifier";"language";"collectionID";"institutionCode";"collectionCode";"basisOfRecord";"occurrenceID";"catalogNumber";"recordNumber";"recordedBy";"eventDate";"year";"month";"day";"fieldNotes";"continent";"country";"countryCode";"stateProvince";"county";"municipality";"locality";"decimalLatitude";"decimalLongitude";"geodeticDatum";"identifiedBy";"dateIdentified";"typeStatus";"taxonID";"scientificName";"acceptedNameUsage";"higherClassification";"kingdom";"phylum";"class";"order";"family";"genus";"specificEpithet";"taxonRank";"scientificNameAuthorship";"taxonomicStatus"
"";"35254";"";"";"JBRJ";"RB";"S";"35254";"334329";"";"";"";"";"";"";"";"";"";"";"";"";"";"Ladeira da Perna d´ema - S.João Vermelho.";"";"";"";"";"";"";"15337";"Anisacanthus trilobus Lindau";"Anisacanthus trilobus Lindau";"Acanthaceae;Anisacanthus;Anisacanthus trilobus";"Plantae";"";"";"";"Acanthaceae";"Anisacanthus";"";"species";"Lindau";"accepted"
"";"35299";"";"";"JBRJ";"RB";"S";"35299";"241233";"";"";"";"";"";"";"";"";"";"";"";"";"";"26km. North West of Lagoinha (which is 5.5km. S.W. of Delfino) on side road to Minas do Mimoso. .";"";"";"";"";"";"";"15337";"Anisacanthus trilobus Lindau";"Anisacanthus trilobus Lindau";"Acanthaceae;Anisacanthus;Anisacanthus trilobus";"Plantae";"";"";"";"Acanthaceae";"Anisacanthus";"";"species";"Lindau";"accepted"
"";"37290";"";"";"JBRJ";"RB";"S";"37290";"163131";"";"";"";"";"";"";"";"";"";"";"";"";"";"Chapada dos Motões, Mun. de Pedro II .";"";"";"";"";"";"";"15337";"Anisacanthus trilobus Lindau";"Anisacanthus trilobus Lindau";"Acanthaceae;Anisacanthus;Anisacanthus trilobus";"Plantae";"";"";"";"Acanthaceae";"Anisacanthus";"";"species";"Lindau";"accepted"
"";"35884";"";"";"JBRJ";"RB";"S";"35884";"323179";"";"";"";"";"";"";"";"";"";"";"";"";"";"Monte, Planalto da Ibiapaba. Ibiapina.";"";"";"";"";"";"";"15337";"Anisacanthus trilobus Lindau";"Anisacanthus trilobus Lindau";"Acanthaceae;Anisacanthus;Anisacanthus trilobus";"Plantae";"";"";"";"Acanthaceae";"Anisacanthus";"";"species";"Lindau";"accepted"
"";"36268";"";"";"JBRJ";"RB";"S";"36268";"295318";"";"";"";"";"";"";"";"";"";"";"";"";"";"Rodovia Barreiras/ Ibopirama. No Km 113 da rodovia Barreiroa/ Ibotirama.";"";"";"";"";"";"";"15337";"Anisacanthus trilobus Lindau";"Anisacanthus trilobus Lindau";"Acanthaceae;Anisacanthus;Anisacanthus trilobus";"Plantae";"";"";"";"Acanthaceae";"Anisacanthus";"";"species";"Lindau";"accepted"
"";"37284";"";"";"JBRJ";"RB";"S";"37284";"172347";"";"";"";"";"";"";"";"";"";"";"";"";"";"Entre feira Nova e Araripina. .";"";"";"";"";"";"";"15337";"Anisacanthus trilobus Lindau";"Anisacanthus trilobus Lindau";"Acanthaceae;Anisacanthus;Anisacanthus trilobus";"Plantae";"";"";"";"Acanthaceae";"Anisacanthus";"";"species";"Lindau";"accepted"
"";"35286";"";"";"JBRJ";"RB";"S";"35286";"241242";"";"";"";"";"";"";"";"";"";"";"";"";"";"3km. N.W. of Lagoinha (5.5km. S.W. of Delfino) on the side road to Minas do Mimoso. Cut over woodland, and by cultivation near  river.";"";"";"";"";"";"";"15337";"Anisacanthus trilobus Lindau";"Anisacanthus trilobus Lindau";"Acanthaceae;Anisacanthus;Anisacanthus trilobus";"Plantae";"";"";"";"Acanthaceae";"Anisacanthus";"";"species";"Lindau";"accepted"
"";"35272";"";"";"JBRJ";"RB";"S";"35272";"210132";"";"";"";"";"";"";"";"";"";"";"";"";"";"Basin of the Saõ Fancisco River.2km. E. of Igaporã, on the BR 430 and about 44km. from Caitité.";"";"";"";"";"";"";"15337";"Anisacanthus trilobus Lindau";"Anisacanthus trilobus Lindau";"Acanthaceae;Anisacanthus;Anisacanthus trilobus";"Plantae";"";"";"";"Acanthaceae";"Anisacanthus";"";"species";"Lindau";"accepted"
"";"36283";"";"";"JBRJ";"RB";"S";"36283";"207688";"";"";"";"";"";"";"";"";"";"";"";"";"";"Macuabas, Canatiba.";"";"";"";"";"";"";"15337";"Anisacanthus trilobus Lindau";"Anisacanthus trilobus Lindau";"Acanthaceae;Anisacanthus;Anisacanthus trilobus";"Plantae";"";"";"";"Acanthaceae";"Anisacanthus";"";"species";"Lindau";"accepted"
"";"35896";"";"";"JBRJ";"RB";"S";"35896";"209446";"";"";"";"";"";"";"";"";"";"";"";"";"";".";"";"";"";"";"";"";"15337";"Anisacanthus trilobus Lindau";"Anisacanthus trilobus Lindau";"Acanthaceae;Anisacanthus;Anisacanthus trilobus";"Plantae";"";"";"";"Acanthaceae";"Anisacanthus";"";"species";"Lindau";"accepted"
